iter	RMSE
0	137691.7439
1	132333.2819
2	127140.8858
3	122245.3368
4	117711.5456
5	113318.1077
6	109186.9949
7	105289.6285
8	101611.4398
9	98149.38546
10	94838.72128
11	91685.82761
12	88759.69755
13	85980.7516
14	83357.2004
15	80909.20847
16	78568.63657
17	76344.73289
18	74303.77938
19	72273.32862
20	70471.84597
21	68582.63586
22	66974.35655
23	65401.91961
24	63941.15574
25	62526.90366
26	61218.95036
27	59929.3396
28	58723.78733
29	57558.25222
30	56495.80331
31	55446.15656
32	54502.28123
33	53563.24447
34	52715.42701
35	51933.9544
36	51144.88562
37	50416.90799
38	49722.34235
39	49081.46318
40	48482.38669
41	47920.09636
42	47405.21836
43	46817.87895
44	46260.42057
45	45705.17824
46	45189.41461
47	44710.66612
48	44278.23344
49	43852.12346
50	43481.29885
51	43092.41235
52	42735.36228
53	42361.72461
54	42039.54113
55	41730.95361
56	41462.69495
57	41193.65441
58	40941.98343
59	40633.44804
60	40351.33587
61	40132.27538
62	39887.43295
63	39656.83667
64	39447.5201
65	39236.18885
66	38992.08242
67	38754.80724
68	38579.33944
69	38415.1898
70	38215.90455
71	38055.85681
72	37894.58735
73	37732.12908
74	37579.13959
75	37387.81966
76	37256.38717
77	37093.01781
78	36919.46695
79	36755.35037
80	36614.41952
81	36486.59615
82	36360.30906
83	36245.26285
84	36143.60271
85	36015.62404
86	35925.21032
87	35821.18653
88	35720.56322
89	35578.45628
90	35493.4525
91	35373.71698
92	35236.32994
93	35130.8695
94	35011.20934
95	34928.13534
96	34809.89296
97	34692.2385
98	34562.50713
99	34476.42084
100	34351.6519
101	34282.44039
102	34192.11674
103	34100.75366
104	34000.18555
105	33903.47257
106	33737.89581
107	33642.44732
108	33545.42139
109	33472.04837
110	33415.13189
111	33300.61305
112	33219.78125
113	33135.95561
114	33060.83436
115	32978.5801
116	32881.13854
117	32817.68056
118	32731.17633
119	32667.9664
120	32602.70117
121	32514.16877
122	32447.21813
123	32371.71747
124	32305.88519
125	32229.43931
126	32173.7403
127	32083.52038
128	32022.69142
129	31921.93737
130	31856.47445
131	31785.58811
132	31734.57566
133	31664.60685
134	31579.41758
135	31486.12534
136	31418.92906
137	31341.14304
138	31286.25008
139	31242.95327
140	31187.90777
141	31130.00657
142	31064.33472
143	31010.60924
144	30966.2056
145	30889.13254
146	30836.58814
147	30774.91666
148	30719.67355
149	30662.4194
150	30622.09483
151	30550.43654
152	30507.45222
153	30445.60286
154	30391.20916
155	30345.81843
156	30296.69173
157	30262.20271
158	30223.42943
159	30188.27571
160	30113.96962
161	30071.51692
162	30040.218
163	29997.68368
164	29945.11416
165	29894.87178
166	29828.90111
167	29783.33137
168	29752.36777
169	29695.37688
170	29660.27637
171	29612.33785
172	29567.18939
173	29521.53878
174	29471.28136
175	29420.54533
176	29373.60084
177	29339.40367
178	29293.99839
179	29260.84417
180	29218.77889
181	29175.96445
182	29141.73268
183	29085.52931
184	29042.58516
185	28988.73337
186	28934.45738
187	28884.32335
188	28857.02781
189	28810.60693
190	28772.50433
191	28738.2378
192	28704.28673
193	28658.24844
194	28624.02798
195	28565.0799
196	28520.89501
197	28479.25412
198	28437.21584
199	28408.25801
200	28380.18007
201	28348.43229
202	28301.96425
203	28272.17223
204	28238.46076
205	28175.53269
206	28145.35823
207	28115.02703
208	28093.09858
209	28069.61086
210	28046.2709
211	28009.50053
212	27973.8622
213	27939.16347
214	27908.79883
215	27878.48594
216	27839.07298
217	27808.5413
218	27785.91061
219	27757.29075
220	27718.7973
221	27696.77912
222	27666.66555
223	27632.675
224	27591.95616
225	27566.77326
226	27546.33422
227	27509.87412
228	27475.81383
229	27454.86196
230	27428.17093
231	27400.09294
232	27371.32369
233	27347.84488
234	27320.62889
235	27292.10537
236	27270.17848
237	27245.24737
238	27225.77032
239	27190.24551
240	27167.25285
241	27138.24628
242	27115.93296
243	27084.93592
244	27066.76281
245	27034.03135
246	27008.84368
247	26986.55077
248	26964.7295
249	26935.02681
250	26911.44573
251	26888.60967
252	26864.28567
253	26845.58281
254	26821.2003
255	26795.8223
256	26769.05987
257	26743.95778
258	26717.18842
259	26689.15047
260	26665.60348
261	26641.31575
262	26622.29455
263	26591.30688
264	26566.63589
265	26545.8028
266	26506.16154
267	26482.60117
268	26458.11231
269	26439.70061
270	26413.60099
271	26390.37996
272	26366.25014
273	26348.16676
274	26322.33149
275	26305.6412
276	26288.38665
277	26269.90315
278	26252.27412
279	26231.06987
280	26203.67609
281	26180.22116
282	26160.48712
283	26138.37774
284	26113.23751
285	26094.62372
286	26080.49534
287	26065.11222
288	26039.53253
289	26009.18355
290	25989.69334
291	25972.14419
292	25951.66907
293	25930.01498
294	25914.24656
295	25901.24183
296	25887.33753
297	25865.75849
298	25852.98674
299	25838.33059
300	25825.88956
301	25799.03136
302	25781.25705
303	25763.03434
304	25745.69144
305	25723.49343
306	25709.15127
307	25696.93288
308	25680.32173
309	25664.36974
310	25643.09971
311	25627.30856
312	25613.76587
313	25598.53247
314	25588.00266
315	25568.50128
316	25551.70131
317	25534.64114
318	25517.70217
319	25496.81684
320	25478.70484
321	25453.14131
322	25435.38023
323	25423.02451
324	25403.34994
325	25382.73011
326	25370.83758
327	25358.9192
328	25343.72442
329	25327.6603
330	25312.1254
331	25298.21798
332	25283.2202
333	25270.92835
334	25252.88039
335	25235.59803
336	25223.5616
337	25206.86974
338	25188.09757
339	25175.04227
340	25158.95374
341	25146.74704
342	25128.73206
343	25113.75795
344	25099.41526
345	25089.5156
346	25073.52033
347	25057.27278
348	25047.12349
349	25029.48628
350	25019.8612
351	25009.18889
352	24991.19407
353	24980.42126
354	24964.00711
355	24951.40848
356	24941.35955
357	24927.44128
358	24918.9823
359	24910.33936
360	24896.54343
361	24881.87018
362	24867.53199
363	24855.65009
364	24843.30283
365	24829.72654
366	24816.55426
367	24804.91242
368	24796.80142
369	24777.57908
370	24765.19567
371	24756.44307
372	24746.1618
373	24732.314
374	24725.8129
375	24713.35517
376	24704.97623
377	24693.24225
378	24685.00526
379	24670.6351
380	24658.80552
381	24647.96219
382	24637.14771
383	24624.25086
384	24609.5764
385	24598.77752
386	24592.28942
387	24581.66239
388	24572.33268
389	24559.62825
390	24551.94207
391	24534.99642
392	24523.30091
393	24510.79321
394	24495.99135
395	24487.57783
396	24475.09785
397	24466.91297
398	24453.72081
399	24441.66089
400	24426.72453
401	24413.74077
402	24402.01484
403	24393.77092
404	24387.07597
405	24376.6734
406	24357.96765
407	24348.51412
408	24337.61951
409	24328.29623
410	24320.87837
411	24310.57738
412	24303.44907
413	24290.20283
414	24279.75644
415	24268.39157
416	24256.82677
417	24246.35122
418	24236.25083
419	24223.80074
420	24214.09466
421	24204.3449
422	24199.19062
423	24189.20602
424	24178.99884
425	24168.06636
426	24159.39757
427	24154.54238
428	24139.83328
429	24130.00151
430	24122.30255
431	24113.46002
432	24102.23814
433	24091.71423
434	24087.06003
435	24075.58099
436	24067.03848
437	24060.99149
438	24050.91987
439	24040.44887
440	24035.29579
441	24025.12186
442	24020.84331
443	24013.78342
444	24003.16946
445	23992.97895
446	23981.31974
447	23972.23385
448	23965.06298
449	23955.54295
450	23949.28229
451	23944.79875
452	23934.17697
453	23928.75154
454	23922.37653
455	23916.86346
456	23905.24118
457	23894.29582
458	23884.93982
459	23877.0545
460	23869.32206
461	23857.05535
462	23846.68562
463	23840.0039
464	23831.84585
465	23821.65825
466	23813.08856
467	23806.65242
468	23797.00123
469	23789.30161
470	23784.48969
471	23775.46328
472	23771.36383
473	23767.01389
474	23762.65309
475	23755.80875
476	23743.20845
477	23735.88335
478	23727.91905
479	23721.66765
480	23717.37944
481	23703.27184
482	23693.44576
483	23684.13897
484	23678.73142
485	23672.3415
486	23668.1029
487	23659.27378
488	23645.66787
489	23639.58886
490	23632.67221
491	23625.45835
492	23616.86438
493	23608.01948
494	23601.30408
495	23590.35069
496	23586.68197
497	23578.25327
498	23574.57028
499	23559.47087
500	23550.0372
501	23541.90327
502	23537.5613
503	23530.16847
504	23521.82369
505	23514.05193
506	23507.69573
507	23503.09839
508	23496.9683
509	23486.28331
510	23479.93516
511	23472.20146
512	23460.96655
513	23453.05713
514	23449.66543
515	23443.19859
516	23434.77628
517	23424.95095
518	23419.35609
519	23413.03007
520	23406.65489
521	23401.74947
522	23393.80456
