iter	Passed	Remaining
0	123	370843
1	242	363170
2	335	334865
3	434	325344
4	521	312485
5	624	311736
6	725	310354
7	819	306334
8	931	309485
9	1025	306623
10	1134	308169
11	1227	305750
12	1325	304523
13	1401	298960
14	1511	300804
15	1599	298392
16	1694	297420
17	1794	297316
18	1895	297356
19	1996	297482
20	2078	294789
21	2169	293633
22	2268	293582
23	2370	293901
24	2457	292390
25	2573	294377
26	2655	292377
27	2755	292476
28	2868	293829
29	2970	294035
30	3068	293836
31	3166	293698
32	3271	294163
33	3383	295165
34	3486	295351
35	3582	294977
36	3697	296089
37	3801	296282
38	3899	296064
39	4017	297319
40	4139	298742
41	4234	298231
42	4339	298434
43	4456	299403
44	4569	300050
45	4691	301277
46	4805	301949
47	4906	301724
48	5015	302029
49	5134	302954
50	5243	303184
51	5401	306202
52	5509	306335
53	5607	305896
54	5723	306471
55	5841	307095
56	5946	307046
57	6042	306521
58	6155	306828
59	6260	306787
60	6361	306521
61	6468	306512
62	6569	306275
63	6679	306440
64	6790	306620
65	6887	306194
66	6992	306108
67	7086	305569
68	7184	305175
69	7315	306199
70	7420	306136
71	7530	306252
72	7618	305475
73	7761	306876
74	7886	307566
75	8030	308960
76	8154	309561
77	8299	310921
78	8445	312277
79	8577	313078
80	8737	314864
81	8899	316698
82	9078	319073
83	9207	319621
84	9318	319556
85	9424	319337
86	9526	318982
87	9650	319351
88	9783	319994
89	9890	319782
90	10032	320714
91	10170	321481
92	10329	322892
93	10486	324184
94	10606	324342
95	10731	324625
96	10870	325318
97	11021	326369
98	11139	326419
99	11270	326852
100	11424	327923
101	11564	328571
102	11678	328461
103	11800	328597
104	11930	328936
105	12046	328885
106	12187	329519
107	12315	329782
108	12422	329485
109	12547	329657
110	12670	329782
111	12819	330562
112	12995	332006
113	13120	332153
114	13254	332502
115	13399	333135
116	13510	332901
117	13648	333354
118	13771	333410
119	13891	333391
120	14004	333208
121	14143	333649
122	14275	333895
123	14469	335599
124	14664	337285
125	14774	337004
126	14913	337370
127	15054	337780
128	15152	337221
129	15272	337179
130	15394	337141
131	15538	337617
132	15685	338118
133	15829	338563
134	15968	338891
135	16060	338220
136	16157	337654
137	16299	338028
138	16456	338715
139	16561	338324
140	16731	339264
141	16844	339023
142	16983	339303
143	17129	339731
144	17255	339760
145	17367	339495
146	17502	339694
147	17646	340047
148	17765	339929
149	17922	340534
150	18053	340617
151	18171	340483
152	18294	340418
153	18415	340335
154	18532	340160
155	18659	340179
156	18805	340531
157	18944	340758
158	19089	341086
159	19241	341539
160	19378	341711
161	19504	341687
162	19632	341701
163	19731	341214
164	19872	341447
165	20022	341833
166	20154	341894
167	20273	341757
168	20405	341827
169	20511	341455
170	20624	341216
171	20753	341222
172	20851	340734
173	20956	340360
174	21098	340587
175	21238	340775
176	21354	340587
177	21469	340373
178	21572	339970
179	21676	339603
180	21782	339248
181	21885	338867
182	22003	338713
183	22120	338545
184	22236	338356
